Row,Name,Neighborhood,Year,Value
7292,Ozone,301.0,2013,29.3
7302,Fine Particles,207.0,2013,10.2
7305,Fine Particles,203.0,2013,10.3
7316,Ozone,106.0,2013,29.9
7318,Nitrogen Dioxide,207.0,2013,16.5
7320,Nitrogen Dioxide,308.0,2013,26.1
7324,Ozone,309.0,2013,25.7
7325,Ozone,206.0,2013,30.6
7330,Ozone,205.0,2013,29.7
7331,Ozone,303.0,2013,28.9
7333,Ozone,501.0,2013,28.8
7340,Ozone,404.0,2013,30.8
7341,Ozone,204.0,2013,31.5
7349,Ozone,403.0,2013,31.4
7350,Fine Particles,305.0,2013,12.2
7351,Fine Particles,103.0,2013,10.3
7352,Fine Particles,205.0,2013,10.6
7353,Ozone,304.0,2013,26.9
7355,Ozone,306.0,2013,23.5
7356,Ozone,302.0,2013,28.4
7360,Fine Particles,208.0,2013,9.9
7361,Fine Particles,107.0,2013,9.4
7368,Nitrogen Dioxide,106.0,2013,19.9
7373,Nitrogen Dioxide,301.0,2013,19.0
7375,Fine Particles,401.0,2013,11.1
7377,Nitrogen Dioxide,105.0,2013,18.9
7378,Ozone,107.0,2013,31.6
7379,Ozone,308.0,2013,25.2
7380,Ozone,307.0,2013,21.9
7381,Ozone,408.0,2013,31.1
7384,Nitrogen Dioxide,306.0,2013,30.7
7385,Fine Particles,503.0,2013,9.5
7386,Nitrogen Dioxide,203.0,2013,18.7
7390,Nitrogen Dioxide,304.0,2013,22.7
7391,Nitrogen Dioxide,404.0,2013,14.1
7402,Nitrogen Dioxide,309.0,2013,24.2
7405,Nitrogen Dioxide,211.0,2013,19.1
7406,Nitrogen Dioxide,503.0,2013,11.1
7407,Nitrogen Dioxide,205.0,2013,16.8
7408,Fine Particles,101.0,2013,10.0
7409,Fine Particles,210.0,2013,9.7
7411,Fine Particles,307.0,2013,14.1
7416,Nitrogen Dioxide,402.0,2013,18.1
7417,Fine Particles,502.0,2013,9.3
7419,Fine Particles,403.0,2013,10.1
7423,Ozone,406.0,2013,30.7
7429,Nitrogen Dioxide,107.0,2013,17.5
7433,Nitrogen Dioxide,307.0,2013,33.9
7441,Ozone,402.0,2013,30.7
7453,Nitrogen Dioxide,408.0,2013,16.6
7457,Nitrogen Dioxide,208.0,2013,12.1
7474,Nitrogen Dioxide,201.0,2013,18.9
